time_period_start,time_period_end,price_open,price_high,price_low,price_close,volume_traded,trades_count
2022-02-20T00:00:00.0000000Z,2022-02-20T06:00:00.0000000Z,40079.17,40125.44,39285.3,39349.91,5572.17349,149167
2022-02-20T06:00:00.0000000Z,2022-02-20T12:00:00.0000000Z,39349.91,39443.27,38000,38343.99,15512.68596,312052
2022-02-20T12:00:00.0000000Z,2022-02-20T18:00:00.0000000Z,38343.99,38616,38022,38279.31,6316.91795,183560
2022-02-20T18:00:00.0000000Z,2022-02-21T00:00:00.0000000Z,38279.31,38979.12,38048.49,38386.89,6037.51271,166456
2022-02-21T00:00:00.0000000Z,2022-02-21T06:00:00.0000000Z,38386.89,39494.35,38182.98,39228.67,8745.52567,198218
2022-02-21T06:00:00.0000000Z,2022-02-21T12:00:00.0000000Z,39228.66,39362.15,37348.49,37577.33,12272.82001,276408
2022-02-21T12:00:00.0000000Z,2022-02-21T18:00:00.0000000Z,37576.1,39283.07,37213.63,38527.65,20582.24401,415052
2022-02-21T18:00:00.0000000Z,2022-02-22T00:00:00.0000000Z,38527.66,38655.73,36800,37008.16,20745.69843,462504
2022-02-22T00:00:00.0000000Z,2022-02-22T06:00:00.0000000Z,37008.16,37468.35,36350,36740.76,15575.90014,317227
2022-02-22T06:00:00.0000000Z,2022-02-22T12:00:00.0000000Z,36740.75,37865,36515.87,37519.48,12695.35827,291710
2022-02-22T12:00:00.0000000Z,2022-02-22T18:00:00.0000000Z,37519.47,38298.48,37274.38,37640.97,15895.59689,351866
2022-02-22T18:00:00.0000000Z,2022-02-23T00:00:00.0000000Z,37640.96,38429,37551.74,38230.33,9619.09059,251724
2022-02-23T00:00:00.0000000Z,2022-02-23T06:00:00.0000000Z,38230.33,38354.56,37528.33,37976.11,7244.65022,198292
2022-02-23T06:00:00.0000000Z,2022-02-23T12:00:00.0000000Z,37976.1,39125.47,37912.64,38782.91,11430.85937,264058
2022-02-23T12:00:00.0000000Z,2022-02-23T18:00:00.0000000Z,38782.91,39249.93,38005.24,38084.48,13042.21746,291905
2022-02-23T18:00:00.0000000Z,2022-02-24T00:00:00.0000000Z,38084.48,38109.88,37036.79,37250.01,11843.00495,276617
2022-02-24T00:00:00.0000000Z,2022-02-24T06:00:00.0000000Z,37250.02,37427.81,34322.28,34680.85,36605.20164,763996
2022-02-24T06:00:00.0000000Z,2022-02-24T12:00:00.0000000Z,34683.58,35885,34379.04,35442.22,30590.12695,608429
2022-02-24T12:00:00.0000000Z,2022-02-24T18:00:00.0000000Z,35442.23,36310.52,35035,35831.85,24983.89167,551949
2022-02-24T18:00:00.0000000Z,2022-02-25T00:00:00.0000000Z,35831.86,39843,35800,38327.21,28297.07432,698406
