time_period_start,time_period_end,price_open,price_high,price_low,price_close,volume_traded,trades_count
2018-02-16T06:00:00.0000000Z,2018-02-16T12:00:00.0000000Z,10055.03,10090.11,9666,9799.43,11261.37705,110845
2018-02-16T12:00:00.0000000Z,2018-02-16T18:00:00.0000000Z,9796.01,10150,9740,10055.38,9168.150635,97079
2018-02-16T18:00:00.0000000Z,2018-02-17T00:00:00.0000000Z,10054.53,10213.3,9865,10159.98,7432.926251,82654
2018-02-17T00:00:00.0000000Z,2018-02-17T06:00:00.0000000Z,10156.07,10542.91,10050,10499.99,10352.55903,102590
2018-02-17T06:00:00.0000000Z,2018-02-17T12:00:00.0000000Z,10499.99,10877.91,10499.86,10683,13147.70629,123903
2018-02-17T12:00:00.0000000Z,2018-02-17T18:00:00.0000000Z,10683,10869,10499.86,10745.2,10029.68323,103892
2018-02-17T18:00:00.0000000Z,2018-02-18T00:00:00.0000000Z,10745.24,11075.07,10674,11039.55,8352.159856,83200
2018-02-18T00:00:00.0000000Z,2018-02-18T06:00:00.0000000Z,11039.55,11274,10328,10328.34,16164.59826,144939
2018-02-18T06:00:00.0000000Z,2018-02-18T12:00:00.0000000Z,10328.42,10637.75,10080,10550,20375.07471,162612
2018-02-18T12:00:00.0000000Z,2018-02-18T18:00:00.0000000Z,10550,10850,10350,10743,14295.81684,132259
2018-02-18T18:00:00.0000000Z,2018-02-19T00:00:00.0000000Z,10735.03,10874.99,10331,10383.43,10301.89092,97724
2018-02-19T00:00:00.0000000Z,2018-02-19T06:00:00.0000000Z,10375.01,10639,10270.33,10448.22,8442.212505,83041
2018-02-19T06:00:00.0000000Z,2018-02-19T12:00:00.0000000Z,10449.93,11031.31,10381,10918.84,12444.77532,105288
2018-02-19T12:00:00.0000000Z,2018-02-19T18:00:00.0000000Z,10918.84,11250,10855,10940,11527.21075,102059
2018-02-19T18:00:00.0000000Z,2018-02-20T00:00:00.0000000Z,10940,11212,10930,11153,8417.218557,76494
2018-02-20T00:00:00.0000000Z,2018-02-20T06:00:00.0000000Z,11147.11,11545,11141,11451.33,11842.28653,96345
2018-02-20T06:00:00.0000000Z,2018-02-20T12:00:00.0000000Z,11451.36,11650,11156,11400,11860.82075,105368
2018-02-20T12:00:00.0000000Z,2018-02-20T18:00:00.0000000Z,11408.88,11719,11378,11693.14,8819.213987,89489
2018-02-20T18:00:00.0000000Z,2018-02-21T00:00:00.0000000Z,11693.14,11786.01,11100.59,11200.99,15631.03301,140995
2018-02-21T00:00:00.0000000Z,2018-02-21T06:00:00.0000000Z,11195.07,11304.03,10620,10810,21925.90411,176832
2018-02-21T06:00:00.0000000Z,2018-02-21T12:00:00.0000000Z,10811,11185.19,10750.72,10948,11235.54435,99505
2018-02-21T12:00:00.0000000Z,2018-02-21T18:00:00.0000000Z,10948.02,11109,10312.12,10522.8,20449.96787,145784
2018-02-21T18:00:00.0000000Z,2018-02-22T00:00:00.0000000Z,10522.8,10675.51,10200,10437.6,14502.40242,120219
2018-02-22T00:00:00.0000000Z,2018-02-22T06:00:00.0000000Z,10439.02,10870,10296,10759,11508.7083,94599
2018-02-22T06:00:00.0000000Z,2018-02-22T12:00:00.0000000Z,10759,10933.44,10076,10259.87,16839.08044,126854
2018-02-22T12:00:00.0000000Z,2018-02-22T18:00:00.0000000Z,10260,10318,9679,9840,27614.52838,187094
2018-02-22T18:00:00.0000000Z,2018-02-23T00:00:00.0000000Z,9840,10127,9780,9811.04,11097.84938,97726
2018-02-23T00:00:00.0000000Z,2018-02-23T06:00:00.0000000Z,9815.55,9989,9570.19,9787,15177.16152,118265
2018-02-23T06:00:00.0000000Z,2018-02-23T12:00:00.0000000Z,9784.98,10230,9656,10180.06,14909.82782,119004
2018-02-23T12:00:00.0000000Z,2018-02-23T18:00:00.0000000Z,10180.06,10435,10021.83,10110.28,16333.6251,124758
2018-02-23T18:00:00.0000000Z,2018-02-24T00:00:00.0000000Z,10110.28,10234.04,9857.75,10131.04,10782.08794,105453
2018-02-24T00:00:00.0000000Z,2018-02-24T06:00:00.0000000Z,10131.04,10496.97,10081.41,10458,9121.97272,79877
2018-02-24T06:00:00.0000000Z,2018-02-24T12:00:00.0000000Z,10452.07,10488,9669.94,9757,13874.49817,100800
2018-02-24T12:00:00.0000000Z,2018-02-24T18:00:00.0000000Z,9757,9839,9556,9632.04,9330.122004,74084
2018-02-24T18:00:00.0000000Z,2018-02-25T00:00:00.0000000Z,9633,9737,9352,9694.51,8561.563406,83157
2018-02-25T00:00:00.0000000Z,2018-02-25T06:00:00.0000000Z,9694.51,9779,9487,9709.99,5819.389772,58594
